State,Longitude,Latitude,2001,2011
Andaman and Nicobar,92.88957896,11.94237332,81.3,86.27
Andhra Pradesh,79.91620298,16.5541242,60.47,67.66
Arunachal Pradesh,94.54532681,27.72576542,54.34,66.95
Assam,92.65731036,26.32134089,63.25,73.18
Bihar,85.63677401,25.77139354,47,63.82
Chandigarh,76.75872466,30.7426,81.94,86.43
Chhattisgarh,82.12509334,21.55573858,64.66,71.04
Dadra and Nagar Haveli,73.09454961,20.21513217,57.63,77.65
Daman and Diu,72.41121191,20.49456979,78.18,87.07
Delhi,77.12804518,28.6459443,81.67,86.34
Goa,73.86601626,15.39350404,82.01,87.4
Gujarat,72.19574739,22.37440585,69.14,79.31
Haryana,76.52123743,29.19561628,67.91,76.64
Himachal Pradesh,76.85561814,31.64946888,76.48,83.78
Jammu and Kashmir,75.00063062,33.651699,55.52,68.74
Jharkhand,85.85996246,23.76750555,53.56,67.63
Karnataka,76.29962468,14.36981709,66.64,75.6
Kerala,76.21770621,10.32670636,90.86,93.91
Lakshadweep,72.82992744,10.43639053,86.66,92.28
Madhya Pradesh,78.08249213,23.6356052,63.74,70.63
Maharashtra,75.27055447,19.39251561,76.88,82.91
Manipur,93.8644935,24.73897489,70.53,79.85
Meghalaya,91.2375107,25.48036736,62.56,75.48
Mizoram,92.81661901,23.45835659,88.8,91.58
Nagaland,94.3257526,26.06185708,66.59,80.11
Orissa,84.98396584,20.52959736,63.08,73.45
Puducherry,79.75997363,11.94431293,81.24,86.55
Punjab,75.45295226,30.91206149,69.65,76.68
Rajasthan,75.22539475,26.49328197,60.41,67.06
Sikkim,88.51230522,27.3376798,68.81,82.2
Tamil Nadu,78.76274652,11.15971133,73.45,80.33
Tripura,91.65871314,23.70930485,73.19,87.75
Uttar Pradesh,80.65919244,27.06916343,56.27,69.72
Uttaranchal,78.84563219,29.91025594,71.62,79.63
West Bengal,88.14959609,23.42134318,68.64,77.08
